# Station=PAL Year=2024 | Source: PAL_2024_all.txt
# Filters: Zenith<=87.0; FEATURES complete; ghi_clear>10.0; ghi>=0; clearsky==1; aeronet_aod550+aeronet_alpha present
# Total=3466 | Test fraction=0.5 | Seed=42
# TRAIN POOL (1733 rows)
time_utc	ghi	bni	dhi	ghi_clear	bni_clear	dhi_clear	zenith	merra_ALPHA	merra_ALBEDO	merra_TQV	merra_TO3	merra_PS	merra_BETA	clearsky	aeronet_aod550	aeronet_alpha
2024-08-05 17:12:00	283	664	61	284.963096981	624.133563754	73.1168153842	70.1581788747	1.59655277729	0.234106387198	2.56361040115	0.313572723389	999.806234375	0.0405708641007	1	0.085449	1.336447
2024-08-05 17:26:00	246	636	57	245.556904947	588.615476275	68.1959484071	72.4631646115	1.59139695168	0.241241414348	2.5530783844	0.313599497477	999.761645833	0.0405653090212	1	0.079178	1.314915
2024-08-05 17:35:00	222	619	54	220.455678284	562.82954594	64.7520716812	73.9399700904	1.58873812358	0.245879794161	2.54649850527	0.313618548075	999.739980469	0.0405784526306	1	0.074297	1.297917
2024-08-05 17:44:00	198	595	50	195.654706147	534.377205414	61.0581784064	75.4114773757	1.58660380046	0.250559435288	2.54007118861	0.313639069621	999.723914062	0.040605108512	1	0.071021	1.302212
2024-08-05 17:47:00	189	584	49	187.475889154	524.258980651	59.7638502921	75.9005993529	1.58589235942	0.252119315664	2.53792874972	0.313645910136	999.718558594	0.0406139942337	1	0.072333	1.297105
2024-08-05 17:57:00	162	550	45	160.614407497	487.992435056	55.2035441812	77.5252574838	1.58352088928	0.257318916917	2.53078728676	0.313668711853	999.700707031	0.0406436148263	1	0.07093	1.294657
2024-08-05 18:00:00	154	537	44	152.696387308	476.291190378	53.7574069494	78.0107640538	1.58280944824	0.258878797293	2.52864484787	0.313675552368	999.695351563	0.0406525014546	1	0.072097	1.294608
2024-08-05 18:05:00	141	515	42	139.669145185	455.873139686	51.2619364055	78.8178105359	1.58162371318	0.261478597919	2.52507411639	0.313686953227	999.686425781	0.0406673129575	1	0.072981	1.308735
2024-08-05 18:09:00	130	497	41	129.416803259	438.667254881	49.1855932259	79.4614145753	1.58067512512	0.26355843842	2.5222175312	0.313696073914	999.679285156	0.0406791625661	1	0.07437	1.322423
2024-08-05 18:15:00	115	468	38	114.359383517	411.304014556	45.9308825691	80.4231910994	1.57925224304	0.266678199172	2.51793265343	0.313709754944	999.668574219	0.0406969376483	1	0.075155	1.325041
